1	4	אדגר אלן פו	הלב המדובב	היית	2	אַךְ צָרִיךְ הָיִיתָ לִרְאוֹת אוֹתִי.	אַךְ צְרִיכָה הָיִיתָ לִרְאוֹת אוֹתִי.	1	1	0
2	4	אדגר אלן פו	הלב המדובב	היית	1	צָרִיךְ הָיִיתָ לִרְאוֹת בְּאֵיזוֹ תְּבוּנָה כִּלְכַּלְתִּי אֶת צַעֲדֵי – בְּאֵיזוֹ זְהִירוּת – בְּאֵיזוֹ רְאִייַּת-הַנּוֹלָד – בְּאֵיזוֹ צְבִיעוּת מְחוּשֶּׁבֶת נִיגַּשְׁתִּי לִמְלָאכָה!	צְרִיכָה הָיִיתָ לִרְאוֹת בְּאֵיזוֹ תְּבוּנָה כִּלְכַּלְתִּי אֶת צַעֲדֵי – בְּאֵיזוֹ זְהִירוּת – בְּאֵיזוֹ רְאִייַּת-הַנּוֹלָד – בְּאֵיזוֹ צְבִיעוּת מְחוּשֶּׁבֶת נִיגַּשְׁתִּי לִמְלָאכָה!	1	1	0
3	6	אדגר אלן פו	נפילת בית אשר	ראית	2	וְאַתָּה לֹא רָאִיתָ זֹאת?	וְאֶת לֹא רָאִיתָ זֹאת?	1	1	0
4	8	אדוארדו ברטי	יומנה של קוראת עיתונים	היית	0	הָיִיתָ צָרִיךְ לִרְאוֹת אֶת הַפַּרְצוּף שֶׁלּוֹ, מְסַכֵּן.	הָיִיתָ צְרִיכָה לִרְאוֹת אֶת הַפַּרְצוּף שֶׁלּוֹ, מְסַכֵּן.	1	1	0
5	8	אדוארדו ברטי	יומנה של קוראת עיתונים	היית	10	הוּא נִרְאֶה מְחוּנָּךְ, אֲבָל אֲנִי לֹא חוֹשֶׁבֶת שֶׁהוּא כְּמוֹ שֶׁאַתָּה הָיִיתָ רוֹצֶה שֶׁהוּא יִהְיֶה.	הוּא נִרְאֶה מְחוּנָּךְ, אֲבָל אֲנִי לֹא חוֹשֶׁבֶת שֶׁהוּא כְּמוֹ שֶׁאַתְּ הָיִיתָ רוֹצֶה שֶׁהוּא יִהְיֶה.	1	1	0
6	9	אדוארדו חלפון	המתאגרף הפולני	היית	7	הֵבַנְתִּי אֶת הַשְּׁאֵלָה שֶׁמּוּסְוֵוית בַּשְּׁאֵלָה הַזֹּאת: מָה הָיִיתָ צָרִיךְ לַעֲשׂוֹת כְּדֵי שִׁימְּנוּ אוֹתְךָ לָאַחְרַאי?	הֵבַנְתִּי אֶת הַשְּׁאֵלָה שֶׁמּוּסְוֵוית בַּשְּׁאֵלָה הַזֹּאת: מָה הָיִיתָ צְרִיכָה לַעֲשׂוֹת כְּדֵי שִׁימְּנוּ אוֹתְךָ לְאַחְרָאִית?	1	1	0
7	9	אדוארדו חלפון	המתאגרף הפולני	היית	8	הֵבַנְתִּי אֶת הַשְּׁאֵלָה שֶׁלֹּא שׁוֹאֲלִים אַף פַּעַם: מָה הָיִיתָ צָרִיךְ לַעֲשׂוֹת כְּדֵי לִשְׂרוֹד?	הֵבַנְתִּי אֶת הַשְּׁאֵלָה שֶׁלֹּא שׁוֹאֲלִים אַף פַּעַם: מָה הָיִיתָ צְרִיכָה לַעֲשׂוֹת כְּדֵי לִשְׂרוֹד?	1	1	0
8	11	אדית נסביט	ספר היצורים	רחצת	10	בַּדַּקָּה הָאַחֲרוֹנָה רָץ לְיוֹנֵל בְּמַעֲלֵה הַמַּדְרֵגוֹת, נֶשֶׁק לַמְּטַפֵּל וְאָמַר, "תּוֹדָה שֶׁרָחַצְתָּ אוֹתִי."	בַּדַּקָּה הָאַחֲרוֹנָה רָץ לְיוֹנֵל בְּמַעֲלֵה הַמַּדְרֵגוֹת, נֶשֶׁק לְאוֹמֶנֶת וְאָמַר, "תּוֹדָה שֶׁרָחַצְתָּ אוֹתִי."	2	1	0
9	11	אדית נסביט	ספר היצורים	ראית	12	אֲבָל הָאוֹמֶנֶת אָמְרָה, אַל תִּרְתּוֹם אֶת הָעֲגָלָה לִפְנֵי הַסּוּסִים, יַקִּירֵי, עוֹד לֹא רָאִיתָ לָמָּה הַדְּרָקוֹן מְסוּגָּל.	אֲבָל הָאוֹמֶנֶת אָמְרָה, אַל תִּרְתְּמִי אֶת הָעֲגָלָה לִפְנֵי הַסּוּסִים, יַקִּירָתִי, עוֹד לֹא רָאִיתָ לָמָּה הַדְּרָקוֹן מְסוּגָּל.	1	1	0
10	13	אדם מארק	טמגוצ׳י	היית	0	הָיִיתָ מַאֲמִין?	הָיִיתָ מַאֲמִינָה?	1	1	0
11	17	או. הנרי	כופר נפשו של הצ'יף האדום	פחדת	4	הָיִיתָ אָמוּר לְהִישָּׂרֵף בַּזְּרִיחָה, וּפָחַדְתָּ שֶׁהוּא יַעֲשֶׂה אֶת זֶה.	הָיִיתָ אֲמוּרָה לְהִישָּׂרֵף בַּזְּרִיחָה, וּפָחַדְתָּ שֶׁהוּא יַעֲשֶׂה אֶת זֶה.	1	1	0
12	17	או. הנרי	כופר נפשו של הצ'יף האדום	אמרת	9	כְּשֶׁעָמַדְתִּי לָצֵאת, הַיֶּלֶד נִיגַּשׁ אֵלַי וְאָמַר: "הוֹ, עֵין-נָחָשׁ, אַתָּה אָמַרְתָּ שֶׁאֲנִי יָכוֹל לְשַׂחֵק בַּצּוֹפֶה הַשָּׁחוֹר כְּשֶׁלֹּא תִּהְיֶה כָּאן."	כְּשֶׁעָמַדְתִּי לָצֵאת, הַיֶּלֶד נִיגַּשׁ אֵלַי וְאָמַר: "הוֹ, עֵין-נָחָשׁ, אַתְּ אָמַרְתָּ שֶׁאֲנִי יָכוֹל לְשַׂחֵק בַּצּוֹפֶה הַשָּׁחוֹר כְּשֶׁלֹּא תִּהְיִי כָּאן."	1	1	0
13	21	אונורה דה בלזק	אל וֶרדוּגוֹ	ידעת	17	חָוָאנִיטוֹ, יַקִּירֵי שֶׁלִּי, אָמְרָה בְּנִימָה שֶׁל עֲלִיצוּת בְּעוֹדָהּ כּוֹרֶכֶת אֶת זְרוֹעוֹתֶיהָ סְבִיב צַוּוֹארוֹ וְנוֹשֶׁקֶת לְעַפְעַפָּיו, "אִילּוּ רַק יָדַעְתָּ כַּמָּה מָתוֹק יִהְיֶה הַמָּוֶות מִיָּדֶיךָ."	חָוָאנִיטָה, יַקִּירָתִי שֶׁלִּי, אָמְרָה בְּנִימָה שֶׁל עֲלִיצוּת בְּעוֹדָהּ כּוֹרֶכֶת אֶת זְרוֹעוֹתֶיהָ סְבִיב צַוּוֹארָהּ וְנוֹשֶׁקֶת לְעַפְעַפֶּיהָ, "אִילּוּ רַק יָדַעְתָּ כַּמָּה מָתוֹק יִהְיֶה הַמָּוֶות מִיָּדַיִיךְ."	1	1	0
14	21	אונורה דה בלזק	אל וֶרדוּגוֹ	רצית	5	חָוָאנִיטוֹ הַטּוֹב שֶׁלִּי, הֲרֵי לֹא רָצִיתָ שֶׁאֶהְיֶה שַׁיֶּיכֶת לָאִישׁ, וּבְכֵן!	חָוָאנִיטָה הַטּוֹבָה שֶׁלִּי, הֲרֵי לֹא רָצִיתָ שֶׁאֶהְיֶה שַׁיֶּיכֶת לָאִישׁ, וּבְכֵן!	1	1	1
15	21	אונורה דה בלזק	אל וֶרדוּגוֹ	פקדת	4	אֲנִי מִתְעָרֵב שֶׁלֹּא אַתָּה פָּקַדְתָּ עַל כָּךְ.	אֲנִי מִתְעָרֵב שֶׁלֹּא אֶת פָּקַדְתָּ עַל כָּךְ.	1	1	0
16	22	אוסקר וויילד	הדייג ונשמתו	ידעת	1	אַתָּה יָדַעְתָּ, אָמַר לוֹ.	אַתְּ יָדַעְתָּ, אָמַר לָהּ.	2	1	0
